id,language,difficulty_level,sentence_text,meaning_english,pronunciation_guide,category
es_beg_001,es,beginner,Hola,Hello,OH-lah,greetings
fr_beg_002,fr,beginner,Je m'appelle Pierre,My name is Pierre,zhuh mah-PEHL pee-YAIR,greetings
de_beg_003,de,beginner,Was kostet das?,What does that cost?,vahs KOS-tet dahs,shopping
ja_beg_004,ja,beginner,Arigatou gozaimasu,Thank you very much,ah-ree-GAH-toh goh-ZAH-ee-mahs,greetings
hi_beg_005,hi,beginner,Paani chahiye,I need water,PAH-nee chah-HEE-yeh,food
es_beg_006,es,beginner,¿Dónde está el baño?,Where is the bathroom?,DOHN-deh es-TAH el BAH-nyoh,travel
fr_beg_007,fr,beginner,J'ai faim,I am hungry,zhay FAHN,food
de_beg_008,de,beginner,Wie spät ist es?,What time is it?,vee shpeht ist es,time
ja_beg_009,ja,beginner,Watashi no kazoku,My family,wah-TAH-shee noh kah-ZOH-koo,family
hi_beg_010,hi,beginner,Aaj garmi hai,It's hot today,AAHJ gar-MEE hai,weather
es_beg_011,es,beginner,Me gusta leer,I like to read,meh GOOS-tah leh-ER,hobbies
fr_beg_012,fr,beginner,Je vais au travail,I go to work,zhuh veh oh trah-VY,daily_activities
de_beg_013,de,beginner,Mir tut der Kopf weh,My head hurts,meer toot der kopf veh,health
ja_beg_014,ja,beginner,Doko ni sunde imasu ka?,Where do you live?,DOH-koh nee SOON-deh ee-MAH-soo kah,greetings
hi_beg_015,hi,beginner,Main kaam karta hun,I work,main KAAM kar-TAH hoon,daily_activities

es_int_001,es,intermediate,¿Podrías ayudarme con esto?,Could you help me with this?,poh-DREE-ahs ah-yoo-DAR-meh kon ES-toh,daily_activities
fr_int_002,fr,intermediate,Je voudrais réserver une table,I would like to reserve a table,zhuh voo-DREH reh-zer-VAY oon TAH-bluh,food
de_int_003,de,intermediate,Können Sie mir den Weg zeigen?,Can you show me the way?,KER-nen zee meer den vehg TSEY-gen,travel
ja_int_004,ja,intermediate,Sumimasen ga doko de kippu wo kaimasu ka?,Excuse me where do I buy tickets?,soo-mee-MAH-sen gah DOH-koh deh KEEP-poo woh KAH-ee-mahs kah,travel
hi_int_005,hi,intermediate,Kya aap meri madad kar sakte hain?,Can you help me?,kyah AAP meh-REE mah-DAHD kar sak-TEH hain,greetings
es_int_006,es,intermediate,Me gustaría cambiar dinero,I would like to exchange money,meh goos-tah-REE-ah kahm-bee-AR dee-NEH-roh,shopping
fr_int_007,fr,intermediate,À quelle heure ferme le magasin?,What time does the store close?,ah kel UR fairm luh mah-gah-ZAHN,shopping
de_int_008,de,intermediate,Ich hätte gern einen Kaffee,I would like a coffee,ikh HET-teh gairn EYE-nen kah-FEH,food
ja_int_009,ja,intermediate,Tenki wa dou desu ka?,How is the weather?,TEN-kee wah doh deh-SOO kah,weather
hi_int_010,hi,intermediate,Mere parivaar mein char log hain,There are four people in my family,MEH-reh pah-ree-VAAR main chahr log hain,family
es_int_011,es,intermediate,¿A qué hora abre el museo?,What time does the museum open?,ah keh OH-rah AH-breh el moo-SEH-oh,travel
